UDI,Date,System,Control,Product ID,Type,Air temperature (K),Process temperature (K),Rotational speed (rpm),Torque (Nm),Tool wear (min),Diagnostic
7987,03/05/2018 20:14,94,C,L55166,L,,,,34.5,115,No failure
7988,07/05/2018 00:09,94,A,H37401,H,301,312.2,1489,,,No failure
7989,06/05/2018 20:03,94,C,L55168,L,,,,34.9,122,No failure
7990,04/05/2018 19:39,94,A,L55169,L,301.1,312.4,1430,,,No failure
7991,07/05/2018 21:20,94,C,M22850,M,,,,25.1,126,No failure
7992,22/07/2018 12:43,94,B,L55171,L,,,1534,39,,No failure
7993,26/07/2018 06:26,94,B,M22852,M,,,1852,25.9,,No failure
7994,29/10/2018 09:05,94,B,L55173,L,,,1595,31.9,,No failure
7995,28/10/2018 02:39,94,B,L55174,L,,,1424,43.5,,No failure
7996,31/10/2018 01:56,94,B,L55175,L,,,1776,28.8,,No failure
7997,31/10/2018 07:00,94,A,M22856,M,301,312.2,1499,,,No failure
7998,26/02/2019 10:07,94,B,M22857,M,,,2710,9.7,,Power Failure
7999,25/02/2019 13:50,94,B,L55178,L,,,1359,51.7,,No failure
8000,27/02/2019 22:06,94,B,M22859,M,,,1617,31,,No failure
8001,26/05/2019 18:56,94,B,M22860,M,,,1443,53.3,,No failure
8002,06/09/2019 14:16,94,B,L55181,L,,,1374,50.2,,No failure
8003,08/09/2019 19:46,94,C,M22862,M,,,,23,156,No failure
8004,08/09/2019 06:06,94,C,M22863,M,,,,67.3,159,No failure
8005,11/11/2019 08:47,94,A,L55184,L,300.9,312,1533,,,No failure
8006,07/11/2019 13:04,94,B,L55185,L,,,1477,37.3,,No failure
8007,07/11/2019 08:15,94,A,L55186,L,300.9,312.1,1462,,,No failure
8008,09/03/2020 06:51,94,A,M22867,M,301,312.1,1664,,,No failure
8009,11/03/2020 03:36,94,C,L55188,L,,,,41.1,171,No failure
8010,16/05/2020 22:24,94,A,H37423,H,300.9,312,2129,,,No failure
8011,17/05/2020 07:06,94,C,L55190,L,,,,61.1,178,No failure
8012,18/08/2020 00:18,94,B,L55191,L,,,1427,43.3,,No failure
8013,18/08/2020 06:15,94,A,M22872,M,300.9,312,1375,,,No failure
8014,05/12/2020 00:42,94,C,M22873,M,,,,50.7,185,No failure
8015,03/12/2020 21:42,94,C,L55194,L,,,,44.2,188,No failure
8016,24/02/2021 20:44,94,B,M22875,M,,,1558,37.5,,No failure
8017,27/04/2021 18:08,94,A,M22876,M,300.9,312,1447,,,No failure
8018,29/04/2021 03:25,94,C,L55197,L,,,,39.3,196,No failure
8019,20/07/2021 23:38,94,B,L55198,L,,,1889,23.5,,No failure
8020,22/07/2021 03:48,94,A,L55199,L,301,312.1,1675,,,No failure
8021,19/07/2021 15:20,94,B,H37434,H,,,1720,27.9,,No failure
8022,24/07/2021 01:12,94,A,M22881,M,301,312,1499,,,No failure
8023,06/10/2021 00:34,94,C,L55202,L,,,,43.8,210,No failure
8024,05/10/2021 10:20,94,A,H37437,H,300.9,312,1397,,,No failure
8025,08/10/2021 00:33,94,C,L55204,L,,,,38.7,217,No failure
8026,07/01/2022 12:49,94,B,M22885,M,,,1422,50.7,,No failure
8027,07/01/2022 05:10,94,C,L55206,L,,,,50.2,222,Overstrain Failure
8028,07/01/2022 18:09,94,C,L55207,L,,,,44.9,224,No failure
8029,09/01/2022 08:31,94,A,L55208,L,300.6,311.8,1501,,,No failure
8030,17/03/2014 00:26,95,A,M22889,M,300.6,311.9,1629,,,No failure
8031,21/03/2014 18:07,95,A,L55210,L,300.6,312,1490,,,No failure
8032,17/03/2014 08:49,95,B,L55211,L,,,1550,32.4,,No failure
8033,18/03/2014 23:35,95,B,L55212,L,,,1416,46.5,,No failure
8034,21/03/2014 08:27,95,A,L55213,L,300.7,311.9,1485,,,No failure
8035,06/07/2014 15:02,95,B,L55214,L,,,1564,36.8,,No failure
8036,10/07/2014 01:31,95,A,L55215,L,300.7,311.7,1910,,,No failure
8037,09/07/2014 01:45,95,A,L55216,L,300.7,311.7,1460,,,No failure
8038,10/07/2014 05:37,95,B,L55217,L,,,1603,34.1,,No failure
8039,07/07/2014 01:57,95,B,L55218,L,,,1486,47.3,,No failure
8040,25/10/2014 01:44,95,B,L55219,L,,,1560,31.8,,No failure
8041,22/10/2014 07:25,95,B,L55220,L,,,1498,39.3,,No failure
8042,22/10/2014 04:13,95,B,H37455,H,,,1431,48.5,,No failure
8043,20/10/2014 20:37,95,B,L55222,L,,,1486,45.1,,No failure
8044,20/10/2014 21:02,95,A,L55223,L,300.7,311.9,1486,,,No failure
8045,28/12/2014 21:17,95,A,L55224,L,300.7,311.8,1441,,,No failure
8046,25/12/2014 21:01,95,B,M22905,M,,,1366,55.1,,No failure
8047,30/12/2014 12:03,95,B,L55226,L,,,1471,41.4,,No failure
8048,26/12/2014 05:55,95,A,L55227,L,300.6,311.9,1463,,,No failure
8049,27/12/2014 23:39,95,A,L55228,L,300.6,311.9,1413,,,No failure
8050,09/04/2015 06:36,95,C,H37463,H,,,,30.5,45,No failure
8051,10/04/2015 12:20,95,A,L55230,L,300.7,312,1401,,,No failure
8052,16/06/2015 23:56,95,C,L55231,L,,,,27.2,52,No failure
8053,17/06/2015 10:38,95,A,L55232,L,300.5,311.9,1403,,,No failure
8054,16/06/2015 10:31,95,C,L55233,L,,,,21.7,56,No failure
8055,15/06/2015 22:34,95,B,L55234,L,,,1405,47.9,,No failure
8056,16/06/2015 16:35,95,B,H37469,H,,,1496,41.1,,No failure
8057,02/10/2015 21:21,95,B,L55236,L,,,1499,43.4,,No failure
8058,22/12/2015 01:17,95,A,L55237,L,300.2,311.5,1549,,,No failure
8059,20/12/2015 06:21,95,A,L55238,L,300.3,311.6,1515,,,No failure
8060,20/12/2015 11:17,95,C,L55239,L,,,,37.7,71,No failure
8061,19/03/2016 12:28,95,B,H37474,H,,,1426,44.3,,No failure
8062,18/03/2016 22:12,95,B,M22921,M,,,1465,41.4,,No failure
8063,13/06/2016 18:15,95,B,M22922,M,,,1359,54.1,,No failure
8064,15/06/2016 13:23,95,C,M22923,M,,,,36.4,84,No failure
8065,11/06/2016 14:33,95,C,L55244,L,,,,34.8,87,No failure
8066,12/06/2016 23:04,95,A,M22925,M,300.5,311.9,1670,,,No failure
8067,10/06/2016 02:59,95,A,L55246,L,300.4,311.9,1868,,,No failure
8068,30/08/2016 09:19,95,C,M22927,M,,,,39.8,94,No failure
8069,28/08/2016 11:14,95,C,M22928,M,,,,35.2,97,No failure
8070,19/11/2016 00:12,95,A,M22929,M,300.5,311.9,1875,,,No failure
8071,01/02/2017 07:17,95,C,M22930,M,,,,23,103,No failure
8072,02/02/2017 02:37,95,A,L55251,L,300.5,312,1646,,,No failure
8073,30/01/2017 13:23,95,A,H37486,H,300.5,312,1375,,,No failure
8074,31/01/2017 09:44,95,C,L55253,L,,,,36.7,113,No failure
8075,03/04/2017 10:03,95,C,L55254,L,,,,34.9,115,No failure
8076,18/07/2017 06:29,95,B,L55255,L,,,1366,43,,No failure
8077,19/07/2017 12:58,95,A,L55256,L,300.3,311.8,1360,,,No failure
8078,20/07/2017 03:09,95,A,L55257,L,300.3,311.8,1547,,,No failure
8079,15/07/2017 17:57,95,C,L55258,L,,,,31.2,123,No failure
8080,19/07/2017 18:56,95,B,L55259,L,,,1528,36.1,,No failure
8081,30/10/2017 10:42,95,B,H37494,H,,,1432,43.6,,No failure
8082,31/01/2018 15:50,95,A,L55261,L,300.2,311.6,1356,,,No failure
8083,30/01/2018 16:37,95,A,H37496,H,300.1,311.5,1422,,,No failure
8084,31/01/2018 13:47,95,A,L55263,L,300.1,311.4,1438,,,No failure
8085,11/05/2018 07:19,95,B,L55264,L,,,1483,44.4,,No failure
8086,10/05/2018 07:12,95,C,L55265,L,,,,49.8,143,No failure
8087,12/05/2018 11:51,95,C,L55266,L,,,,37.5,145,No failure
8088,12/05/2018 19:42,95,C,L55267,L,,,,40.6,147,No failure
8089,19/07/2018 04:06,95,C,L55268,L,,,,45.7,149,No failure
8090,21/07/2018 12:20,95,A,L55269,L,300.1,311.3,1676,,,No failure
8091,20/07/2018 15:18,95,B,L55270,L,,,1910,23,,No failure
8092,21/07/2018 03:45,95,B,L55271,L,,,1375,56.9,,No failure
8093,22/07/2018 14:35,95,C,M22952,M,,,,40.8,157,No failure
8094,01/11/2018 23:31,95,B,L55273,L,,,1511,35.7,,No failure
8095,30/10/2018 08:10,95,B,H37508,H,,,1662,28.8,,No failure
8096,11/01/2019 16:10,95,B,L55275,L,,,1493,48.3,,No failure
8097,11/01/2019 21:07,95,C,M22956,M,,,,37.4,169,No failure
8098,21/04/2019 13:15,95,B,L55277,L,,,1452,41.5,,No failure
8099,21/04/2019 12:57,95,A,L55278,L,300.2,311.6,1500,,,No failure
8100,20/04/2019 13:24,95,A,L55279,L,300.2,311.7,1603,,,No failure
8101,23/04/2019 20:48,95,A,L55280,L,300.3,311.7,1682,,,No failure
8102,25/07/2019 05:21,95,B,L55281,L,,,1567,37.7,,No failure
8103,28/07/2019 11:50,95,A,L55282,L,300.3,311.8,1413,,,No failure
8104,11/10/2019 21:36,95,B,M22963,M,,,1429,41.6,,No failure
8105,11/10/2019 18:36,95,B,L55284,L,,,1692,31.5,,No failure
8106,15/10/2019 05:28,95,A,L55285,L,300.4,311.9,1476,,,No failure
8107,20/12/2019 05:35,95,A,M22966,M,300.4,312,1596,,,No failure
8108,03/04/2020 00:00,95,C,H37521,H,,,,49,194,No failure
8109,03/04/2020 03:46,95,C,M22968,M,,,,33.7,199,No failure
8110,06/04/2020 23:28,95,A,L55289,L,300.3,311.7,1821,,,No failure
8111,06/04/2020 22:56,95,A,H37524,H,300.3,311.8,2141,,,No failure
8112,05/04/2020 17:07,95,C,M22971,M,,,,33.1,209,Tool Wear Failure
8113,30/03/2014 00:18,96,B,M22972,M,,,1442,45.1,,No failure
8114,25/03/2014 12:05,96,C,L55293,L,,,,45.6,3,No failure
8115,30/03/2014 03:48,96,C,H37528,H,,,,13.5,5,No failure
8116,17/06/2014 11:15,96,B,L55295,L,,,1367,57.2,,No failure
8117,15/06/2014 09:57,96,C,L55296,L,,,,19.6,12,No failure
8118,15/06/2014 22:51,96,C,L55297,L,,,,47.5,14,No failure
8119,15/06/2014 07:53,96,C,L55298,L,,,,33,16,No failure
8120,23/09/2014 19:53,96,C,L55299,L,,,,55.2,18,No failure
8121,25/09/2014 08:44,96,A,L55300,L,300.2,311.6,1767,,,No failure
8122,22/09/2014 13:59,96,C,L55301,L,,,,27,22,No failure
8123,30/11/2014 04:45,96,A,M22982,M,300.2,311.6,1533,,,No failure
8124,29/11/2014 09:11,96,B,H37537,H,,,1515,36.8,,No failure
8125,30/11/2014 22:27,96,B,L55304,L,,,1568,41,,No failure
8126,29/11/2014 14:51,96,C,L55305,L,,,,47.8,34,No failure
8127,24/02/2015 09:03,96,B,L55306,L,,,1433,37.9,,No failure
8128,17/05/2015 16:50,96,A,M22987,M,300.1,311.3,1650,,,No failure
8129,24/08/2015 20:08,96,C,L55308,L,,,,31.3,41,No failure
8130,25/08/2015 05:13,96,B,L55309,L,,,1520,39.2,,No failure
8131,26/08/2015 12:37,96,A,H37544,H,300,311.2,1393,,,No failure
8132,27/08/2015 16:43,96,C,H37545,H,,,,49.6,50,No failure
8133,26/08/2015 14:41,96,C,M22992,M,,,,50,55,No failure
8134,28/10/2015 01:38,96,B,L55313,L,,,1466,46.1,,No failure
8135,31/01/2016 19:57,96,B,L55314,L,,,1650,32.4,,No failure
8136,02/02/2016 03:47,96,B,L55315,L,,,1554,36.3,,No failure
8137,24/05/2016 13:40,96,A,M22996,M,299.6,310.9,1474,,,No failure
8138,22/05/2016 04:06,96,A,H37551,H,299.5,310.8,1600,,,No failure
8139,21/05/2016 00:14,96,C,L55318,L,,,,54.9,72,No failure
8140,20/05/2016 23:51,96,B,L55319,L,,,1571,38.2,,No failure
8141,23/07/2016 06:05,96,A,L55320,L,299.6,310.9,1658,,,No failure
8142,28/10/2016 13:50,96,A,L55321,L,299.6,310.8,1393,,,No failure
8143,31/10/2016 15:09,96,A,M23002,M,299.7,311,1448,,,No failure
8144,26/10/2016 11:41,96,A,L55323,L,299.7,310.9,1477,,,No failure
8145,28/10/2016 08:01,96,A,M23004,M,299.7,311,1506,,,No failure
8146,30/10/2016 13:40,96,B,M23005,M,,,1685,32.1,,No failure
8147,18/02/2017 08:37,96,B,L55326,L,,,1533,31.8,,No failure
8148,20/02/2017 23:31,96,C,L55327,L,,,,41,93,No failure
8149,20/02/2017 14:01,96,A,M23008,M,299.5,310.7,1488,,,No failure
8150,18/02/2017 12:05,96,B,M23009,M,,,1427,50.4,,No failure
8151,10/06/2017 08:09,96,B,M23010,M,,,1424,41.3,,No failure
8152,07/06/2017 02:07,96,A,L55331,L,299.5,310.7,1472,,,No failure
8153,07/06/2017 00:38,96,C,L55332,L,,,,45.7,106,No failure
8154,07/09/2017 21:06,96,B,L55333,L,,,1507,42.4,,No failure
8155,09/09/2017 13:22,96,A,L55334,L,299.6,310.7,1393,,,No failure
8156,01/01/2018 09:56,96,B,L55335,L,,,1283,52.4,,No failure
8157,07/03/2018 15:58,96,C,L55336,L,,,,30.9,114,No failure
8158,08/03/2018 15:45,96,B,L55337,L,,,1498,46.9,,No failure
8159,08/03/2018 00:47,96,C,L55338,L,,,,40.8,118,No failure
8160,26/06/2018 15:02,96,B,H37573,H,,,1679,31.2,,No failure
8161,16/10/2018 20:35,96,B,M23020,M,,,1618,30.3,,No failure
8162,15/10/2018 23:20,96,B,H37575,H,,,1714,30.2,,No failure
8163,17/10/2018 18:35,96,B,L55342,L,,,1574,35,,No failure
8164,18/10/2018 10:04,96,C,L55343,L,,,,36.4,135,No failure
8165,15/01/2019 01:24,96,B,L55344,L,,,1472,40.9,,No failure
8166,25/04/2019 11:38,96,B,L55345,L,,,1552,33.2,,No failure
8167,23/04/2019 11:24,96,C,L55346,L,,,,31.4,141,No failure
8168,27/04/2019 23:53,96,A,H37581,H,299.7,311.1,1353,,,No failure
8169,20/08/2019 01:41,96,B,L55348,L,,,1690,30.6,,No failure
8170,15/08/2019 18:58,96,B,M23029,M,,,1745,26.3,,No failure
8171,21/08/2019 09:55,96,C,L55350,L,,,,45.7,153,No failure
8172,18/08/2019 01:33,96,C,H37585,H,,,,34.5,155,No failure
8173,27/11/2019 22:26,96,A,L55352,L,299.9,311.4,1596,,,No failure
8174,22/11/2019 16:13,96,C,H37587,H,,,,37,162,No failure
8175,22/11/2019 08:58,96,A,L55354,L,299.9,311.3,1371,,,No failure
8176,25/11/2019 05:31,96,A,M23035,M,299.9,311.3,1445,,,No failure
8177,23/11/2019 07:26,96,C,L55356,L,,,,40,172,No failure
8178,03/02/2020 12:40,96,A,L55357,L,299.7,311.1,1439,,,No failure
8179,04/02/2020 11:53,96,B,L55358,L,,,1352,52.1,,No failure
8180,03/04/2020 16:51,96,A,L55359,L,299.8,311.3,1560,,,No failure
8181,27/07/2020 01:09,96,B,M23040,M,,,1616,42.3,,No failure
8182,29/07/2020 03:03,96,C,L55361,L,,,,23.7,183,No failure
8183,27/07/2020 03:31,96,A,M23042,M,299.7,311.1,1649,,,No failure
8184,29/07/2020 12:07,96,A,L55363,L,299.8,311.1,1452,,,No failure
8185,30/07/2020 22:54,96,A,L55364,L,299.8,311.1,2144,,,No failure
8186,24/10/2020 07:20,96,C,L55365,L,,,,41,192,No failure
8187,25/10/2020 12:16,96,B,L55366,L,,,1827,25.4,,No failure
8188,27/10/2020 10:29,96,B,L55367,L,,,1448,46.3,,No failure
8189,27/10/2020 10:31,96,C,M23048,M,,,,38.8,198,No failure
8190,24/10/2020 21:41,96,C,L55369,L,,,,21,201,No failure
8191,11/01/2021 07:53,96,B,M23050,M,,,1620,37.2,,No failure
8192,14/01/2021 21:42,96,A,M23051,M,299.6,310.9,1630,,,No failure
8193,08/04/2021 09:13,96,C,L55372,L,,,,65.2,209,Overstrain Failure
8194,04/04/2021 11:07,96,A,L55373,L,299.5,310.8,1873,,,No failure
8195,05/04/2021 01:36,96,A,L55374,L,299.4,310.7,1426,,,No failure
8196,06/04/2021 11:03,96,C,L55375,L,,,,53.9,215,Overstrain Failure
8197,06/07/2021 10:07,96,B,L55376,L,,,1622,33.6,,No failure
8198,07/07/2021 07:24,96,A,M23057,M,299.4,310.7,1492,,,No failure
8199,05/07/2021 14:41,96,B,M23058,M,,,1374,48.9,,No failure
8200,08/07/2021 03:53,96,C,L55379,L,,,,27,225,Tool Wear Failure
8201,14/03/2014 23:24,97,C,L55380,L,,,,42.4,0,No failure
8202,12/03/2014 17:31,97,B,M23061,M,,,1826,25.1,,No failure
8203,16/03/2014 22:52,97,C,L55382,L,,,,32.4,5,No failure
8204,13/03/2014 15:28,97,B,M23063,M,,,1473,40.1,,No failure
8205,15/03/2014 15:04,97,A,L55384,L,299.4,310.9,1751,,,No failure
8206,24/06/2014 15:00,97,B,M23065,M,,,1446,47.3,,No failure
8207,25/06/2014 13:47,97,A,L55386,L,299.3,310.8,1483,,,No failure
8208,23/10/2014 02:56,97,B,L55387,L,,,1535,42.6,,No failure
8209,10/01/2015 21:24,97,C,L55388,L,,,,44,19,No failure
8210,13/03/2015 09:04,97,A,L55389,L,299.3,310.8,1391,,,No failure
8211,14/03/2015 00:40,97,A,H37624,H,299.2,310.7,1636,,,No failure
8212,16/03/2015 19:00,97,A,L55391,L,299.2,310.6,1675,,,No failure
8213,13/03/2015 14:52,97,A,H37626,H,299.2,310.5,1329,,,No failure
8214,22/06/2015 12:27,97,A,M23073,M,299.2,310.5,1548,,,No failure
8215,22/06/2015 03:15,97,C,L55394,L,,,,45.8,38,No failure
8216,23/06/2015 21:51,97,A,L55395,L,299.1,310.5,1437,,,No failure
8217,24/06/2015 12:53,97,C,L55396,L,,,,61.9,42,No failure
8218,22/06/2015 08:31,97,B,L55397,L,,,1577,37.1,,No failure
8219,05/10/2015 08:55,97,C,L55398,L,,,,37.8,46,No failure
8220,01/10/2015 11:56,97,C,L55399,L,,,,34.3,48,No failure
8221,01/10/2015 04:41,97,A,M23080,M,298.9,310.3,1551,,,No failure
8222,13/01/2016 14:07,97,C,M23081,M,,,,43,53,No failure
8223,01/04/2016 20:25,97,B,L55402,L,,,1755,27.9,,No failure
8224,05/04/2016 06:31,97,B,L55403,L,,,1329,54.9,,No failure
8225,06/04/2016 09:21,97,C,L55404,L,,,,35.2,60,No failure
8226,30/06/2016 06:24,97,A,L55405,L,299.1,310.5,1532,,,No failure
8227,01/07/2016 10:08,97,A,L55406,L,299.1,310.5,1389,,,No failure
8228,27/06/2016 10:48,97,B,M23087,M,,,1524,51.4,,No failure
8229,26/06/2016 21:16,97,C,M23088,M,,,,49.3,69,No failure
8230,29/06/2016 05:58,97,B,L55409,L,,,1739,27.4,,No failure
8231,29/09/2016 16:39,97,C,L55410,L,,,,26.9,74,No failure
8232,28/01/2017 21:32,97,B,L55411,L,,,1419,48.8,,No failure
8233,01/02/2017 11:17,97,A,L55412,L,299.1,310.6,1326,,,No failure
8234,30/01/2017 20:33,97,A,M23093,M,299.1,310.6,1449,,,No failure
8235,01/02/2017 03:00,97,B,L55414,L,,,1534,39.7,,No failure
8236,29/01/2017 13:41,97,A,M23095,M,299.2,310.6,1443,,,No failure
8237,11/04/2017 22:51,97,C,L55416,L,,,,41.1,88,No failure
8238,20/06/2017 11:09,97,A,L55417,L,299.1,310.6,1796,,,No failure
8239,22/06/2017 07:44,97,A,L55418,L,299.1,310.4,1519,,,No failure
8240,19/06/2017 08:11,97,C,L55419,L,,,,49.6,94,No failure
8241,20/06/2017 23:47,97,A,L55420,L,299,310.4,1483,,,No failure
8242,26/09/2017 19:55,97,A,M23101,M,298.9,310.2,2099,,,No failure
8243,14/01/2018 18:37,97,A,M23102,M,299,310.3,1689,,,No failure
8244,30/04/2018 22:49,97,C,H37657,H,,,,54.5,104,No failure
8245,10/07/2018 21:56,97,A,L55424,L,299,310.4,1512,,,No failure
8246,06/07/2018 14:47,97,B,M23105,M,,,1303,68.6,,Power Failure
8247,08/07/2018 02:05,97,B,L55426,L,,,1552,39.9,,No failure
8248,06/10/2018 13:31,97,C,L55427,L,,,,28,116,No failure
8249,17/12/2018 05:36,97,A,L55428,L,298.9,310.3,1456,,,No failure
8250,08/04/2019 15:54,97,B,L55429,L,,,1524,39.8,,No failure
8251,09/04/2019 23:12,97,A,M23110,M,299,310.4,1394,,,No failure
8252,09/04/2019 03:11,97,B,L55431,L,,,1981,21.2,,No failure
8253,30/07/2019 09:16,97,B,L55432,L,,,1565,36.1,,No failure
8254,03/08/2019 19:51,97,B,L55433,L,,,1657,31,,No failure
8255,21/10/2019 06:19,97,C,M23114,M,,,,37.1,131,No failure
8256,21/10/2019 22:42,97,C,L55435,L,,,,31.1,134,No failure
8257,22/10/2019 05:50,97,C,H37670,H,,,,56.8,136,No failure
8258,23/10/2019 04:09,97,A,M23117,M,299,310.6,1587,,,No failure
8259,04/01/2020 03:55,97,A,L55438,L,299.1,310.6,1602,,,No failure
8260,08/01/2020 07:28,97,C,L55439,L,,,,38.4,146,No failure
8261,06/01/2020 21:22,97,B,H37674,H,,,1332,48,,No failure
8262,07/01/2020 10:24,97,C,H37675,H,,,,48.4,153,No failure
8263,04/01/2020 09:25,97,C,L55442,L,,,,23.9,158,No failure
8264,15/03/2020 19:01,97,C,H37677,H,,,,30.6,160,No failure
8265,19/03/2020 10:04,97,C,M23124,M,,,,49.5,165,No failure
8266,17/03/2020 04:31,97,C,H37679,H,,,,28,168,No failure
8267,21/03/2020 02:46,97,C,L55446,L,,,,24.1,173,No failure
8268,18/03/2020 02:11,97,B,L55447,L,,,1540,36.3,,No failure
8269,05/07/2020 09:20,97,A,M23128,M,299.2,310.8,1502,,,No failure
8270,02/07/2020 07:52,97,A,H37683,H,299.2,310.8,1761,,,No failure
8271,05/07/2020 08:42,97,B,M23130,M,,,1517,38.4,,No failure
8272,04/07/2020 04:57,97,B,L55451,L,,,1309,51.1,,No failure
8273,06/07/2020 04:23,97,B,L55452,L,,,1363,52.6,,No failure
8274,31/10/2020 01:28,97,A,M23133,M,299,310.6,1787,,,No failure
8275,29/10/2020 23:04,97,C,L55454,L,,,,29.2,195,No failure
8276,16/02/2021 07:28,97,C,M23135,M,,,,25.3,197,No failure
8277,19/02/2021 09:53,97,C,L55456,L,,,,52.8,200,No failure
8278,14/02/2021 19:27,97,A,H37691,H,298.8,310.5,1294,,,No failure
8279,05/06/2021 04:45,97,A,L55458,L,298.8,310.5,1464,,,No failure
8280,02/06/2021 12:44,97,A,L55459,L,298.8,310.6,1803,,,No failure
8281,05/06/2021 05:01,97,C,L55460,L,,,,39.1,211,No failure
8282,11/08/2021 18:55,97,A,H37695,H,298.9,310.6,1519,,,No failure
8283,13/08/2021 23:12,97,C,M23142,M,,,,33.6,218,No failure
8284,11/08/2021 17:22,97,B,H37697,H,,,1615,33,,No failure
8285,07/04/2014 11:50,98,A,L55464,L,298.8,310.6,1651,,,No failure
8286,07/04/2014 09:17,98,C,L55465,L,,,,52.7,2,No failure
8287,08/04/2014 02:01,98,C,M23146,M,,,,32.8,4,No failure
8288,12/07/2014 16:15,98,A,L55467,L,298.9,310.6,1585,,,No failure
8289,15/07/2014 08:46,98,A,M23148,M,298.8,310.6,1640,,,No failure
8290,12/09/2014 11:17,98,B,L55469,L,,,1406,43.8,,No failure
8291,12/09/2014 03:48,98,C,M23150,M,,,,35.8,14,No failure
8292,13/09/2014 17:54,98,C,L55471,L,,,,26.9,17,No failure
8293,04/12/2014 08:28,98,A,H37706,H,298.9,310.5,1429,,,No failure
8294,02/12/2014 22:10,98,C,M23153,M,,,,44.4,24,No failure
8295,07/12/2014 21:56,98,B,M23154,M,,,1525,38.5,,No failure
8296,05/12/2014 05:17,98,C,L55475,L,,,,26.3,30,No failure
8297,24/02/2015 17:02,98,C,L55476,L,,,,39,32,No failure
8298,24/02/2015 17:07,98,A,M23157,M,298.8,310.2,1595,,,No failure
8299,25/02/2015 13:51,98,C,H37712,H,,,,45.6,37,No failure
8300,21/06/2015 18:50,98,C,L55479,L,,,,31.8,42,No failure
8301,22/06/2015 02:32,98,A,L55480,L,298.7,310.1,1558,,,No failure
8302,24/06/2015 06:58,98,C,M23161,M,,,,34.1,46,No failure
8303,19/09/2015 01:19,98,B,L55482,L,,,1641,31.1,,No failure
8304,25/11/2015 15:10,98,C,L55483,L,,,,41,51,No failure
8305,24/11/2015 15:35,98,C,M23164,M,,,,50.7,53,No failure
8306,06/02/2016 21:45,98,A,H37719,H,298.8,310.1,1380,,,No failure
8307,03/02/2016 06:58,98,A,M23166,M,298.7,310.1,1549,,,No failure
8308,03/02/2016 14:19,98,B,M23167,M,,,1402,69.7,,Power Failure
8309,03/02/2016 22:27,98,C,L55488,L,,,,45.3,67,No failure
8310,04/02/2016 04:48,98,C,M23169,M,,,,40.2,69,No failure
8311,04/06/2016 21:26,98,A,L55490,L,298.7,309.9,1465,,,No failure
8312,01/06/2016 07:51,98,B,M23171,M,,,1295,52.7,,No failure
8313,14/08/2016 00:09,98,C,M23172,M,,,,38.5,77,No failure
8314,07/12/2016 11:02,98,A,M23173,M,298.8,310,1484,,,No failure
8315,29/03/2017 15:25,98,A,L55494,L,298.8,309.9,1739,,,No failure
8316,31/03/2017 03:31,98,B,H37729,H,,,1422,40.7,,No failure
8317,26/03/2017 14:28,98,B,L55496,L,,,1463,40,,No failure
8318,28/03/2017 09:00,98,C,L55497,L,,,,30.4,92,No failure
8319,29/03/2017 21:08,98,A,H37732,H,298.7,309.7,1565,,,No failure
8320,10/07/2017 04:50,98,C,L55499,L,,,,45.7,99,No failure
8321,09/07/2017 13:28,98,A,M23180,M,298.8,309.7,1453,,,No failure
8322,10/07/2017 16:54,98,A,L55501,L,298.8,309.6,1442,,,No failure
8323,12/09/2017 12:02,98,A,L55502,L,298.7,309.6,1364,,,No failure
8324,27/12/2017 14:08,98,C,H37737,H,,,,40.4,108,No failure
8325,25/12/2017 13:42,98,B,M23184,M,,,1394,46,,No failure
8326,26/12/2017 07:58,98,B,M23185,M,,,1500,38.8,,No failure
8327,28/12/2017 21:58,98,A,H37740,H,298.6,309.5,1523,,,No failure
8328,26/04/2018 15:24,98,B,M23187,M,,,1254,57.1,,No failure
8329,24/04/2018 17:59,98,B,L55508,L,,,1325,52.2,,No failure
8330,22/04/2018 09:33,98,B,L55509,L,,,1424,49.6,,No failure
8331,22/04/2018 09:15,98,A,L55510,L,298.8,309.7,1505,,,No failure
8332,25/04/2018 00:26,98,B,M23191,M,,,1392,48.7,,No failure
8333,27/06/2018 13:53,98,A,L55512,L,298.8,309.7,1529,,,No failure
8334,27/06/2018 12:07,98,C,M23193,M,,,,48.5,138,No failure
8335,29/06/2018 05:29,98,A,M23194,M,298.8,309.7,1459,,,No failure
8336,28/06/2018 19:00,98,B,M23195,M,,,2240,15.9,,No failure
8337,28/06/2018 08:57,98,B,L55516,L,,,1449,48.8,,No failure
8338,22/09/2018 17:47,98,C,M23197,M,,,,35.3,149,No failure
8339,15/12/2018 13:40,98,A,L55518,L,298.8,309.7,1740,,,No failure
8340,12/12/2018 16:44,98,B,M23199,M,,,1499,40.3,,No failure
8341,14/12/2018 19:10,98,B,M23200,M,,,1480,38.1,,No failure
8342,14/12/2018 15:58,98,B,L55521,L,,,1751,29.6,,No failure
8343,12/12/2018 07:15,98,C,L55522,L,,,,40.6,162,No failure
8344,20/02/2019 15:23,98,C,H37757,H,,,,48.2,164,No failure
8345,24/02/2019 21:47,98,C,L55524,L,,,,40.4,169,No failure
8346,04/05/2019 22:02,98,B,H37759,H,,,1490,35.9,,No failure
8347,06/05/2019 06:22,98,A,L55526,L,298.7,309.7,1601,,,No failure
